route_id,service_id,trip_id,direction_id,trip_headsign
1,2-TR1,848934,0,Mosson
1,2-TR1,848935,0,Mosson
1,2-TR1,848936,0,Mosson
1,2-TR1,848937,0,Mosson
1,2-TR1,848938,0,Mosson
1,2-TR1,848939,0,Mosson
1,2-TR1,848940,0,Mosson
1,2-TR1,848941,0,Mosson
1,2-TR1,848942,0,Mosson
1,2-TR1,848943,0,Mosson
1,2-TR1,848944,0,Mosson
1,2-TR1,848945,0,Mosson
1,2-TR1,848946,0,Mosson
1,2-TR1,848947,0,Mosson
1,2-TR1,848948,0,Mosson
1,2-TR1,848949,0,Mosson
1,2-TR1,848950,0,Mosson
1,2-TR1,848951,0,Mosson
1,2-TR1,848952,0,Mosson
1,2-TR1,848953,0,Mosson
1,2-TR1,848954,0,Mosson
1,2-TR1,848955,0,Mosson
1,2-TR1,848956,0,Mosson
1,2-TR1,848957,0,Mosson
1,2-TR1,848958,0,Mosson
1,2-TR1,848959,0,Mosson
1,2-TR1,848960,0,Mosson
1,2-TR1,848961,0,Mosson
1,2-TR1,849001,0,Mosson
1,2-TR1,849002,0,Mosson
1,2-TR1,849003,0,Mosson
1,2-TR1,849005,0,Mosson
1,2-TR1,849007,0,Mosson
1,2-TR1,849009,0,Mosson
1,2-TR1,849011,0,Mosson
1,2-TR1,849013,0,Mosson
1,2-TR1,849015,0,Mosson
1,2-TR1,849016,0,Mosson
1,2-TR1,849017,0,Mosson
1,2-TR1,849018,0,Mosson
1,2-TR1,849019,0,Mosson
1,2-TR1,849021,0,Mosson
1,2-TR1,849023,0,Mosson
1,2-TR1,849033,0,Mosson
1,2-TR1,849034,0,Mosson
1,2-TR1,849035,0,Mosson
1,2-TR1,849036,0,Mosson
1,2-TR1,849037,0,Mosson
1,2-TR1,849038,0,Mosson
1,2-TR1,849039,0,Mosson
1,2-TR1,849040,0,Mosson
1,2-TR1,849045,0,Mosson
1,2-TR1,849047,0,Mosson
1,2-TR1,849048,0,Mosson
1,2-TR1,849053,0,Mosson
1,2-TR1,849055,0,Mosson
1,2-TR1,849058,0,Mosson
1,2-TR1,849059,0,Mosson
1,2-TR1,849060,0,Mosson
1,2-TR1,849061,0,Mosson
1,2-TR1,849062,0,Mosson
1,2-TR1,849063,0,Mosson
1,2-TR1,849064,0,Mosson
1,2-TR1,849065,0,Mosson
